post_academy_company,post_academy_segment
1Stdibs,High Growth Startups
2070 Health,High Growth Startups
247.ai,High Growth Startups
3i Infotech Ltd,High Growth Startups
6Sense,High Growth Startups
ABInBev,Established Business
ABM,High Growth Startups
ABM,Services
AIT Global India,Services
AMB,Amazing Startups
Abridge,SMB
Accenture,Services
Accolite,Services
Accruent India,Established Business
Accumn,Services
Adidas,Established Business
Adobe,Tech Giants
Adpushup,High Growth Startups
Aganitha AI,High Growth Startups
Aganitha Cognitive Solution,SMB
Agiliad,High Growth Startups
Airbus,Established Business
Airtel,Established Business
Airtel Digital,Amazing Startups
Airtel Payments Bank,Established Business
Ajio,High Growth Startups
Akamai,High Growth Startups
Akash Edutech,High Growth Startups
Albanero,SMB
Alepo,High Growth Startups
All State,Established Business
All State,SMB
Allyis,High Growth Startups
Altimetrik,High Growth Startups
Amazon,Tech Giants
Amazon,Product based Company
Amber,High Growth Startups
Amdocs,Services
American Express,Established Business
Amoga,SMB
Angel Broking,High Growth Startups
AngelOne,High Growth Startups
Anthology,High Growth Startups
Apisero,High Growth Startups
Apna,High Growth Startups
AppDirect,High Growth Startups
AppDynamics,High Growth Startups
Appinventiv,High Growth Startups
Arcesium,Established Business
Aries Global,Established Business
Arivonix AI,High Growth Startups
ArmorBlox,High Growth Startups
Arthmate,High Growth Startups
Athenahealth,Amazing Startups
Athenahealth,High Growth Startups
Authority Entrepreneurs,SMB
AutoDesk,High Growth Startups
Azuga,High Growth Startups
BarRaiser,High Growth Startups
Barclays,Established Business
Beige Bananas,High Growth Startups
BeingChef,SMB
Benz,Established Business
Bewakoof,High Growth Startups
Bharat Pe,High Growth Startups
Bidgely,High Growth Startups
Bijnis,High Growth Startups
Bikayi,High Growth Startups
Binary Flux,SMB
Biofourmis,High Growth Startups
Birdeye,High Growth Startups
Bizongo,High Growth Startups
BlackBuck (Zinka Logistics),High Growth Startups
Blackhawk Network,High Growth Startups
Blackhawk Network,Services
Blogvault,High Growth Startups
Bloomreach India,High Growth Startups
Blooprint,SMB
BluePi,High Growth Startups
Boeing,Established Business
BookMyShow,High Growth Startups
Borderfree.io,High Growth Startups
Brane Enterprises Pvt Ltd,SMB
Bread Financial,SMB
